locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDBHNIBC_00001	CDS	1026	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
JDBHNIBC_00002	CDS	537				hypothetical protein
JDBHNIBC_00003	CDS	102				hypothetical protein
JDBHNIBC_00004	CDS	1266	rho	3.6.4.-	COG1158	Transcription termination factor Rho
JDBHNIBC_00005	CDS	558				hypothetical protein
JDBHNIBC_00006	CDS	1506				hypothetical protein
JDBHNIBC_00007	CDS	1329	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
JDBHNIBC_00008	CDS	285				hypothetical protein
JDBHNIBC_00009	CDS	1911	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
JDBHNIBC_00010	CDS	642	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
JDBHNIBC_00011	CDS	798	parA			Chromosome partitioning protein ParA
JDBHNIBC_00012	CDS	882	parB			Chromosome-partitioning protein ParB
JDBHNIBC_00013	CDS	1044				hypothetical protein
JDBHNIBC_00014	CDS	795	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
JDBHNIBC_00015	CDS	885				hypothetical protein
JDBHNIBC_00016	CDS	966				hypothetical protein
JDBHNIBC_00017	CDS	1023				hypothetical protein
JDBHNIBC_00018	CDS	1170				hypothetical protein
JDBHNIBC_00019	CDS	1059	ccpA_1		COG1609	Catabolite control protein A
JDBHNIBC_00020	CDS	1002	afr	1.1.1.292		1,5-anhydro-D-fructose reductase
JDBHNIBC_00021	CDS	1491	carA_1	2.8.3.23	COG4670	Caffeate CoA-transferase
JDBHNIBC_00022	CDS	372	fadB	4.2.1.17	COG1024	putative enoyl-CoA hydratase
JDBHNIBC_00023	CDS	462		4.2.1.150	COG1024	Crotonyl-CoA hydratase
JDBHNIBC_00024	CDS	1515	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
JDBHNIBC_00025	CDS	1485	livQ	1.1.3.-		6'''-hydroxyparomomycin C oxidase
JDBHNIBC_00026	CDS	765	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
JDBHNIBC_00027	CDS	321	alkJ_1	1.1.99.-		Alcohol dehydrogenase [acceptor]
JDBHNIBC_00028	CDS	993	alkJ_2	1.1.99.-		Alcohol dehydrogenase [acceptor]
JDBHNIBC_00029	CDS	348	betA_1	1.2.1.8		Oxygen-dependent choline dehydrogenase
JDBHNIBC_00030	CDS	396				hypothetical protein
JDBHNIBC_00031	CDS	318				hypothetical protein
JDBHNIBC_00032	CDS	765	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
JDBHNIBC_00033	tRNA	77				tRNA-Arg(cct)
JDBHNIBC_00034	CDS	834	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
JDBHNIBC_00035	CDS	276	hipO_2	3.5.1.32	COG1473	Hippurate hydrolase
JDBHNIBC_00036	CDS	1116				hypothetical protein
JDBHNIBC_00037	CDS	1167	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
JDBHNIBC_00038	CDS	258	tusA		COG0425	Sulfur carrier protein TusA
JDBHNIBC_00039	CDS	1212				hypothetical protein
JDBHNIBC_00040	CDS	954	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
JDBHNIBC_00041	CDS	924	xerD			Tyrosine recombinase XerD
JDBHNIBC_00042	CDS	183				hypothetical protein
JDBHNIBC_00043	CDS	603	aroK	2.7.1.71	COG0703	Shikimate kinase 1
JDBHNIBC_00044	CDS	1137	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
JDBHNIBC_00045	CDS	1308				hypothetical protein
JDBHNIBC_00046	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
