locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPJMNOPJ_00001	gene	645	sodA			
HPJMNOPJ_00001	CDS	645	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
HPJMNOPJ_00002	gene	2277	maeB			
HPJMNOPJ_00002	CDS	2277	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
HPJMNOPJ_00003	gene	699	rsuA			
HPJMNOPJ_00003	CDS	699	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
HPJMNOPJ_00004	gene	1197	bcr_1			
HPJMNOPJ_00004	CDS	1197	bcr_1			Bicyclomycin resistance protein
HPJMNOPJ_00005	gene	684	ccmA			
HPJMNOPJ_00005	CDS	684	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
HPJMNOPJ_00006	gene	666	ccmB			
HPJMNOPJ_00006	CDS	666	ccmB		COG2386	Heme exporter protein B
HPJMNOPJ_00007	gene	741	ccmC			
HPJMNOPJ_00007	CDS	741	ccmC		COG0755	Heme exporter protein C
HPJMNOPJ_00008	gene	204				
HPJMNOPJ_00008	CDS	204				hypothetical protein
HPJMNOPJ_00009	gene	540	ccmE			
HPJMNOPJ_00009	CDS	540	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
HPJMNOPJ_00010	gene	1956	ccmF_1			
HPJMNOPJ_00010	CDS	1956	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
HPJMNOPJ_00011	gene	546	dsbE_1			
HPJMNOPJ_00011	CDS	546	dsbE_1		COG0526	Thiol:disulfide interchange protein DsbE
HPJMNOPJ_00012	gene	465				
HPJMNOPJ_00012	CDS	465				hypothetical protein
HPJMNOPJ_00013	gene	915				
HPJMNOPJ_00013	CDS	915				hypothetical protein
HPJMNOPJ_00014	gene	405				
HPJMNOPJ_00014	CDS	405				hypothetical protein
HPJMNOPJ_00015	gene	624				
HPJMNOPJ_00015	CDS	624				hypothetical protein
HPJMNOPJ_00016	gene	303				
HPJMNOPJ_00016	CDS	303				hypothetical protein
HPJMNOPJ_00017	gene	702	hda			
HPJMNOPJ_00017	CDS	702	hda		COG0593	DnaA regulatory inactivator Hda
HPJMNOPJ_00018	gene	1254	pyrP			
HPJMNOPJ_00018	CDS	1254	pyrP			Uracil permease
HPJMNOPJ_00019	gene	627	upp			
HPJMNOPJ_00019	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
HPJMNOPJ_00020	gene	642	purN			
HPJMNOPJ_00020	CDS	642	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
HPJMNOPJ_00021	gene	1038	purM			
HPJMNOPJ_00021	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
HPJMNOPJ_00022	gene	477	pe			
HPJMNOPJ_00022	CDS	477	pe			Surface-adhesin protein E
HPJMNOPJ_00023	gene	102				
HPJMNOPJ_00023	CDS	102				hypothetical protein
HPJMNOPJ_00024	gene	1479	nrfA			
HPJMNOPJ_00024	CDS	1479	nrfA	1.7.2.2	COG3303	Cytochrome c-552
HPJMNOPJ_00025	gene	648	nrfB			
HPJMNOPJ_00025	CDS	648	nrfB			Cytochrome c-type protein NrfB
HPJMNOPJ_00026	gene	681	ydhX			
HPJMNOPJ_00026	CDS	681	ydhX		COG0437	putative ferredoxin-like protein YdhX
HPJMNOPJ_00027	gene	960				
HPJMNOPJ_00027	CDS	960				hypothetical protein
HPJMNOPJ_00028	gene	1926	ccmF_2			
HPJMNOPJ_00028	CDS	1926	ccmF_2		COG1138	Cytochrome c-type biogenesis protein CcmF
HPJMNOPJ_00029	gene	567	dsbE_2			
HPJMNOPJ_00029	CDS	567	dsbE_2		COG0526	Thiol:disulfide interchange protein DsbE
HPJMNOPJ_00030	gene	486	ccmH			
HPJMNOPJ_00030	CDS	486	ccmH		COG3088	Cytochrome c-type biogenesis protein CcmH
HPJMNOPJ_00031	gene	837				
HPJMNOPJ_00031	CDS	837				hypothetical protein
HPJMNOPJ_00032	gene	1224				
HPJMNOPJ_00032	CDS	1224			COG2081	putative protein
HPJMNOPJ_00033	gene	1455	katA			
HPJMNOPJ_00033	CDS	1455	katA	1.11.1.6	COG0753	Catalase
HPJMNOPJ_00034	gene	537				
HPJMNOPJ_00034	CDS	537				hypothetical protein
HPJMNOPJ_00035	gene	3480	dnaE			
HPJMNOPJ_00035	CDS	3480	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
HPJMNOPJ_00036	gene	567				
HPJMNOPJ_00036	CDS	567				hypothetical protein
HPJMNOPJ_00037	gene	1368	sdaA			
HPJMNOPJ_00037	CDS	1368	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
HPJMNOPJ_00038	gene	1242	sdaC			
HPJMNOPJ_00038	CDS	1242	sdaC		COG0814	Serine transporter
